Loading mnist dataset...
/data/conda_env/torfia/lib/python3.8/site-packages/torchvision/datasets/mnist.py:498: UserWarning: The given NumPy array is not writeable, and PyTorch does not support non-writeable tensors. This means you can write to the underlying (supposedly non-writeable) NumPy array using the tensor. You may want to copy the array to protect its data or make it writeable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at  /opt/conda/conda-bld/pytorch_1623448234945/work/torch/csrc/utils/tensor_numpy.cpp:180.)
  return torch.from_numpy(parsed.astype(m[2], copy=False)).view(*s)
(Epoch 35 / 100) Train_Loss: 1317.340; Val_Loss: 1353.896   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 36 / 100) Train_Loss: 1316.813; Val_Loss: 1344.942   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 37 / 100) Train_Loss: 1316.480; Val_Loss: 1345.983   Train_ACC: 11.243; Val_ACC: 11.350   Train_NMI: 0.004; Val_NMI: 0.000
(Epoch 38 / 100) Train_Loss: 1315.247; Val_Loss: 1340.584   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 39 / 100) Train_Loss: 1314.547; Val_Loss: 1338.781   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 40 / 100) Train_Loss: 1313.935; Val_Loss: 1342.504   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 41 / 100) Train_Loss: 1313.968; Val_Loss: 1338.051   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 42 / 100) Train_Loss: 1312.675; Val_Loss: 1346.994   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 43 / 100) Train_Loss: 1312.551; Val_Loss: 1346.584   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 44 / 100) Train_Loss: 1311.826; Val_Loss: 1343.614   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 45 / 100) Train_Loss: 1311.360; Val_Loss: 1352.119   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 46 / 100) Train_Loss: 1310.567; Val_Loss: 1343.953   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 47 / 100) Train_Loss: 1309.630; Val_Loss: 1335.298   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 48 / 100) Train_Loss: 1309.182; Val_Loss: 1331.498   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 49 / 100) Train_Loss: 1308.992; Val_Loss: 1339.397   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 50 / 100) Train_Loss: 1308.579; Val_Loss: 1338.361   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 51 / 100) Train_Loss: 1307.805; Val_Loss: 1338.191   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 52 / 100) Train_Loss: 1307.671; Val_Loss: 1346.124   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 53 / 100) Train_Loss: 1306.205; Val_Loss: 1340.178   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 54 / 100) Train_Loss: 1305.777; Val_Loss: 1343.596   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 55 / 100) Train_Loss: 1305.784; Val_Loss: 1336.592   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 56 / 100) Train_Loss: 1305.034; Val_Loss: 1343.556   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 57 / 100) Train_Loss: 1304.517; Val_Loss: 1340.665   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 58 / 100) Train_Loss: 1304.530; Val_Loss: 1341.794   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 59 / 100) Train_Loss: 1303.646; Val_Loss: 1335.056   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 60 / 100) Train_Loss: 1302.442; Val_Loss: 1337.847   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 61 / 100) Train_Loss: 1303.515; Val_Loss: 1332.770   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 62 / 100) Train_Loss: 1303.239; Val_Loss: 1334.026   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 63 / 100) Train_Loss: 1301.275; Val_Loss: 1340.155   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 64 / 100) Train_Loss: 1301.390; Val_Loss: 1334.864   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 65 / 100) Train_Loss: 1302.033; Val_Loss: 1339.528   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 66 / 100) Train_Loss: 1301.493; Val_Loss: 1335.782   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 67 / 100) Train_Loss: 1300.768; Val_Loss: 1336.341   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 68 / 100) Train_Loss: 1300.065; Val_Loss: 1335.619   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 69 / 100) Train_Loss: 1299.617; Val_Loss: 1340.858   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 70 / 100) Train_Loss: 1299.670; Val_Loss: 1342.654   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 71 / 100) Train_Loss: 1298.958; Val_Loss: 1348.537   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
(Epoch 72 / 100) Train_Loss: 1298.019; Val_Loss: 1329.653   Train_ACC: 11.237; Val_ACC: 11.350   Train_NMI: 0.000; Val_NMI: 0.000
